Index,Premise,Original Word,Best Synonym
203,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,.,A hound which is furry and black is in a back yard and is carrying a basket in its mouth 
204,A man and a woman are sitting comfortably on the bench,man,human_being
204,A man and a woman are sitting comfortably on the bench,.,A human_being and a woman are sitting comfortably on the bench 
205,The man is racing for the lead ,man,human_being
205,The man is racing for the lead ,.,The human_being is racing for the lead 
206,A few men in a competition are running outside,men,man
206,A few men in a competition are running outside,.,A few man in a competition are running outside 
207,A man is bringing up the rear of the race,man,human_being
207,A man is bringing up the rear of the race,.,A human_being is bringing up the rear of the race 
208,A few men in a competition are running outside,men,man
208,A few men in a competition are running outside,.,A few man in a competition are running outside 
209,A man with a camera is studying the subject,man,human_being
209,A man with a camera is studying the subject,.,A human_being with a camera is studying the subject 
210,The man with the dyed purple hat is operating a camera that makes videos,man,human_being
210,The man with the dyed purple hat is operating a camera that makes videos,.,The human_being with the dyed purple hat is operating a camera that makes videos 
211,A man with a camera is studying the subject,man,human_being
211,A man with a camera is studying the subject,.,A human_being with a camera is studying the subject 
212,The man in the purple hat is operating a camera that makes videos,man,human_being
212,The man in the purple hat is operating a camera that makes videos,.,The human_being in the purple hat is operating a camera that makes videos 
213,The man in the purple hat is operating a camera that makes videos,man,human_being
213,The man in the purple hat is operating a camera that makes videos,.,The human_being in the purple hat is operating a camera that makes videos 
214,The study subject is a camera man,subject,matter
214,The study subject is a camera man,.,The study matter is a camera man 
215,The man in the purple hat is operating a camera that makes videos,man,human_being
215,The man in the purple hat is operating a camera that makes videos,.,The human_being in the purple hat is operating a camera that makes videos 
216,The bride and the groom are arriving after the wedding,bride,St._Bride
216,The bride and the groom are arriving after the wedding,.,The St._Bride and the groom are arriving after the wedding 
217,The priest is walking down the aisle to marry a couple,priest,non-Christian_priest
217,The priest is walking down the aisle to marry a couple,.,The non-Christian_priest is walking down the aisle to marry a couple 
218,The bride and the groom are leaving after the marriage,bride,St._Bride
218,The bride and the groom are leaving after the marriage,.,The St._Bride and the groom are leaving after the marriage 
219,The bride and the groom are arriving after the wedding,bride,St._Bride
219,The bride and the groom are arriving after the wedding,.,The St._Bride and the groom are arriving after the wedding 
220,A married couple is walking down the aisle,couple,pair
220,A married couple is walking down the aisle,.,A married pair is walking down the aisle 
221,A married couple is walking down the aisle,couple,pair
221,A married couple is walking down the aisle,.,A married pair is walking down the aisle 
222,The presentation is being attended by a classroom of students,None,None
223,The presentation is being watched by a classroom of students,None,None
224,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,boy,son
224,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,.,A son on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees 
225,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,boy,son
225,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,.,A son on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees 
226,A snow slide is full of kids,slide,chute
226,A snow slide is full of kids,.,A snow chute is full of kids 
227,The kid is sliding in the snow,kid,child
227,The kid is sliding in the snow,.,The child is sliding in the snow 
228,A woman, who is old, is far from a white dog,woman,fair_sex
228,A woman, who is old, is far from a white dog,.,A fair_sex , who is old , is far from a white dog 
229,A man is watering the grass and excitedly playing with a dog,man,human_being
229,A man is watering the grass and excitedly playing with a dog,.,A human_being is watering the grass and excitedly playing with a dog 
230,A dog is excitedly playing with water in the grass,dog,hound
230,A dog is excitedly playing with water in the grass,.,A hound is excitedly playing with water in the grass 
231,The dog is snapping at some droplets of water,dog,hound
231,The dog is snapping at some droplets of water,.,The hound is snapping at some droplets of water 
232,A man is watering the grass and excitedly playing with a dog,man,human_being
232,A man is watering the grass and excitedly playing with a dog,.,A human_being is watering the grass and excitedly playing with a dog 
233,The dog is snapping at some droplets of water,dog,hound
233,The dog is snapping at some droplets of water,.,The hound is snapping at some droplets of water 
234,Some people are in the snow, wearing clothes that provide camouflage,people,mass
234,Some people are in the snow, wearing clothes that provide camouflage,.,Some mass are in the snow , wearing clothes that provide camouflage 
235,Two people are in the snow, wearing clothes that provide camouflage,people,mass
235,Two people are in the snow, wearing clothes that provide camouflage,.,Two mass are in the snow , wearing clothes that provide camouflage 
236,Two people are in the snow, wearing clothes that provide camouflage,people,mass
236,Two people are in the snow, wearing clothes that provide camouflage,.,Two mass are in the snow , wearing clothes that provide camouflage 
237,There is no girl wearing a t-shirt and keeping her mouth open,None,None
238,A girl from Asia, in front of a window made of bricks, looks surprised,girl,daughter
238,A girl from Asia, in front of a window made of bricks, looks surprised,.,A daughter from Asia , in front of a window made of bricks , looks surprised 
